(.env) gitpod /workspace/freqtrade (stable) $ freqtrade backtesting -c config-gateio-static.json -s StratIchimoku005 --timerange=20220101-20221014

2022-10-14 18:39:52,150 - freqtrade.optimize.backtesting - INFO - Reusing result of previous backtest for StratIchimoku005
Result for strategy StratIchimoku005
=================================================================== BACKTESTING REPORT ==================================================================
|                Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |       Avg Duration |   Win  Draw  Loss  Win% |
|     LOOKS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      RUNE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      FLOW/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CHZ/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      DOGE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     1INCH/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      PRIV/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      RACA/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      CELR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       ENS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       XEC/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       ZEN/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      IOST/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       REQ/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      RNDR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     QUICK/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      DEGO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      ARPA/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      POLS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      EGLD/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       XTZ/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       NFT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       NYM/USDT:USDT |         2 |           0.06 |           0.11 |            -0.192 |          -0.02 |   3 days, 13:15:00 |     1     0     1  50.0 |
|       RLC/USDT:USDT |         2 |           0.17 |           0.33 |            -0.344 |          -0.03 |   12 days, 7:22:00 |     1     0     1  50.0 |
|        OP/USDT:USDT |         2 |           0.04 |           0.08 |            -0.459 |          -0.05 |    4 days, 3:52:00 |     1     0     1  50.0 |
|   TONCOIN/USDT:USDT |         2 |          -0.25 |          -0.49 |            -1.017 |          -0.10 |   5 days, 22:00:00 |     1     0     1  50.0 |
|       GST/USDT:USDT |         1 |         -11.89 |         -11.89 |            -7.409 |          -0.74 |  10 days, 20:15:00 |     0     0     1     0 |
|      ROSE/USDT:USDT |         1 |         -25.21 |         -25.21 |            -8.562 |          -0.86 |   2 days, 15:45:00 |     0     0     1     0 |
|      NEAR/USDT:USDT |         1 |         -24.92 |         -24.92 |           -10.083 |          -1.01 |    2 days, 6:00:00 |     0     0     1     0 |
|      POND/USDT:USDT |         1 |         -25.08 |         -25.08 |           -11.288 |          -1.13 |    3 days, 2:45:00 |     0     0     1     0 |
|    MKISHU/USDT:USDT |         1 |         -24.92 |         -24.92 |           -11.439 |          -1.14 |   2 days, 17:45:00 |     0     0     1     0 |
|       ADA/USDT:USDT |         1 |         -24.79 |         -24.79 |           -11.499 |          -1.15 |   7 days, 16:30:00 |     0     0     1     0 |
|       OMG/USDT:USDT |         1 |         -24.80 |         -24.80 |           -11.927 |          -1.19 |   6 days, 10:30:00 |     0     0     1     0 |
|      DUSK/USDT:USDT |         1 |         -25.10 |         -25.10 |           -12.143 |          -1.21 |    4 days, 0:45:00 |     0     0     1     0 |
|       VRA/USDT:USDT |         1 |         -24.92 |         -24.92 |           -12.331 |          -1.23 |    2 days, 9:00:00 |     0     0     1     0 |
|      NEST/USDT:USDT |         1 |         -25.26 |         -25.26 |           -12.501 |          -1.25 |    2 days, 5:30:00 |     0     0     1     0 |
|       ONE/USDT:USDT |         1 |         -26.72 |         -26.72 |           -12.641 |          -1.26 |   4 days, 15:15:00 |     0     0     1     0 |
|      AKRO/USDT:USDT |         1 |         -25.11 |         -25.11 |           -12.791 |          -1.28 |    4 days, 7:45:00 |     0     0     1     0 |
|      AGLD/USDT:USDT |         1 |         -24.70 |         -24.70 |           -12.927 |          -1.29 |   9 days, 12:00:00 |     0     0     1     0 |
|       BLZ/USDT:USDT |         1 |         -24.94 |         -24.94 |           -13.050 |          -1.30 |    1 day, 19:15:00 |     0     0     1     0 |
|       DGB/USDT:USDT |         1 |         -25.09 |         -25.09 |           -13.137 |          -1.31 |    4 days, 7:45:00 |     0     0     1     0 |
|      ROOK/USDT:USDT |         1 |         -24.70 |         -24.70 |           -13.318 |          -1.33 |    9 days, 2:30:00 |     0     0     1     0 |
|       WOO/USDT:USDT |         1 |         -24.79 |         -24.79 |           -13.601 |          -1.36 |    7 days, 3:30:00 |     0     0     1     0 |
|      FIDA/USDT:USDT |         1 |         -25.43 |         -25.43 |           -13.644 |          -1.36 |    9 days, 7:30:00 |     0     0     1     0 |
|       ACA/USDT:USDT |         1 |         -27.40 |         -27.40 |           -15.104 |          -1.51 |    3 days, 3:30:00 |     0     0     1     0 |
|       MOB/USDT:USDT |         3 |          -8.03 |         -24.08 |           -15.297 |          -1.53 |   2 days, 16:00:00 |     1     0     2  33.3 |
|       WIN/USDT:USDT |         1 |         -24.68 |         -24.68 |           -15.389 |          -1.54 |   12 days, 8:30:00 |     0     0     1     0 |
|       STG/USDT:USDT |         1 |         -24.83 |         -24.83 |           -15.566 |          -1.56 |    1 day, 23:45:00 |     0     0     1     0 |
|       AST/USDT:USDT |         1 |         -24.52 |         -24.52 |           -15.651 |          -1.57 |  17 days, 13:30:00 |     0     0     1     0 |
|       ASD/USDT:USDT |         1 |         -24.66 |         -24.66 |           -15.658 |          -1.57 |  10 days, 12:45:00 |     0     0     1     0 |
|       LDO/USDT:USDT |         1 |         -25.10 |         -25.10 |           -16.006 |          -1.60 |    5 days, 3:00:00 |     0     0     1     0 |
|       KDA/USDT:USDT |         1 |         -34.68 |         -34.68 |           -17.350 |          -1.74 |  39 days, 16:00:00 |     0     0     1     0 |
|       PYR/USDT:USDT |         1 |         -39.29 |         -39.29 |           -23.394 |          -2.34 |           12:30:00 |     0     0     1     0 |
|      STMX/USDT:USDT |         2 |         -25.29 |         -50.57 |           -25.652 |          -2.57 |  12 days, 15:22:00 |     0     0     2     0 |
|       BSW/USDT:USDT |         2 |         -26.90 |         -53.81 |           -29.098 |          -2.91 |   6 days, 20:52:00 |     0     0     2     0 |
|               TOTAL |       108 |           5.81 |         627.33 |           292.756 |          29.28 |  10 days, 16:52:00 |    67     0    41  62.0 |
============================================================ ENTER TAG STATS =============================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+-------------------+-------------------------|
| TOTAL |       108 |           5.81 |         627.33 |           292.756 |          29.28 | 10 days, 16:52:00 |    67     0    41  62.0 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|           roi |      67 |     67     0     0   100 |          24.93 |        1670.07 |           856.581 |          83.5  |
|     stop_loss |      41 |      0     0    41     0 |         -25.43 |       -1042.74 |          -563.826 |         -52.14 |
======================================================= LEFT OPEN TRADES REPORT ========================================================
|   Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|--------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  TOTAL |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
=================== SUMMARY METRICS ===================
| Metric                      | Value                 |
|-----------------------------+-----------------------|
| Backtesting from            | 2022-01-01 00:00:00   |
| Backtesting to              | 2022-10-14 00:00:00   |
| Max open trades             | 20                    |
|                             |                       |
| Total/Daily Avg Trades      | 108 / 0.38            |
| Starting balance            | 1000 USDT             |
| Final balance               | 1292.756 USDT         |
| Absolute profit             | 292.756 USDT          |
| Total profit %              | 29.28%                |
| CAGR %                      | 38.78%                |
| Profit factor               | 1.52                  |
| Trades per day              | 0.38                  |
| Avg. daily profit %         | 0.10%                 |
| Avg. stake amount           | 52.419 USDT           |
| Total trade volume          | 5661.301 USDT         |
|                             |                       |
| Long / Short                | 11 / 97               |
| Total profit Long %         | -6.45%                |
| Total profit Short %        | 35.72%                |
| Absolute profit Long        | -64.494 USDT          |
| Absolute profit Short       | 357.25 USDT           |
|                             |                       |
| Best Pair                   | CELO/USDT:USDT 50.04% |
| Worst Pair                  | BSW/USDT:USDT -53.81% |
| Best trade                  | HT/USDT:USDT 26.02%   |
| Worst trade                 | PYR/USDT:USDT -39.29% |
| Best day                    | 102.461 USDT          |
| Worst day                   | -43.477 USDT          |
| Days win/draw/lose          | 28 / 213 / 26         |
| Avg. Duration Winners       | 13 days, 11:44:00     |
| Avg. Duration Loser         | 6 days, 3:37:00       |
| Rejected Entry signals      | 353356                |
| Entry/Exit Timeouts         | 14 / 1                |
|                             |                       |
| Min balance                 | 896.702 USDT          |
| Max balance                 | 1308.944 USDT         |
| Max % of account underwater | 12.22%                |
| Absolute Drawdown (Account) | 12.22%                |
| Absolute Drawdown           | 136.418 USDT          |
| Drawdown high               | 116.511 USDT          |
| Drawdown low                | -19.907 USDT          |
| Drawdown Start              | 2022-01-31 03:00:00   |
| Drawdown End                | 2022-04-06 17:00:00   |
| Market change               | -67.78%               |
=======================================================

